"gene","module_name"
"FCGR1B","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"FCN1","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"FCN2","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"FCN3","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"MASP1","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"MASP2","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"MBL2","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"MRC1","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"PTGFRN","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"PTX3","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"S100A12","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"SLC25A47","<a href=""./htmls/PPI-STRING_Consensus_mod1.html"">PPI-STRING_Consensus_mod1<a>"
"APOPT1","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"ARMC6","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"ATL2","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"ATRN","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"BAIAP2L2","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"BEAN1","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"BOD1L1","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"BSDC1","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"C12orf29","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"C14orf119","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"C1orf52","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"C1orf68","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"C1QTNF7","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"C22orf15","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"C2orf47","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"C4orf22","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"C5orf15","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"C5orf34","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"C8orf76","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"C9orf156","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"CCDC104","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"CCDC132","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"CCDC134","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"CCDC66","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"CCZ1B","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"CDKN2AIPNL","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"CEP120","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"CMTM7","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"CYB561","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"DCAF8L2","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"DFNA5","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"ELFN1","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"EML3","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"ERICH1","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"FABP5","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"FAM120B","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"FAM177A1","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"FAM216A","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"FAM45A","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"FAM84A","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"FLVCR1","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"FOCAD","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"GIMAP4","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"GON4L","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"GSDMA","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"GSDMD","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"HEATR6","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"HINT3","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"HMGN5","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"IAH1","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"IL36B","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"ITPRIPL1","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"KCTD20","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"KDELC2","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"KIAA1731","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"KPRP","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"METTL9","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"NNAT","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"NUDT22","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"OCIAD1","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"PARP8","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"PCNX","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"PHLDB1","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"PIEZO2","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"RC3H1","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"SCAMP4","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"SDK2","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"SLC25A30","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"SMAGP","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"SNN","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"SNX14","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"SYPL2","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"TMEM104","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"TMEM110","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"TMEM132A","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"TMEM230","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"TMEM252","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"TMEM39B","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"TMIGD2","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"TPGS1","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"TPRA1","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"TRABD","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"TRIM14","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"TRPM4","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"UBTD2","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"WDR96","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"ZC3H7A","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"ZDBF2","<a href=""./htmls/PPI-STRING_Consensus_mod2.html"">PPI-STRING_Consensus_mod2<a>"
"ANGPTL2","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"ANGPTL5","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"ASCL2","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"BARX2","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"BHLHA15","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"BZRAP1","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"C16orf45","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"C6orf226","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"CBFA2T3","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"CCDC108","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"CCNDBP1","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"ELSPBP1","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"FAM115A","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"FCER2","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"FLG2","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"FRMD7","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"HNF1B","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"ID1","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"IFI16","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"INSM1","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"INSM2","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"LBH","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"MAFA","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"MDFI","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"MDFIC","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"MYOD1","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"NEUROD1","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"NKX2-1","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"NKX2-2","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"NKX6-1","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"NLRP5","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"ONECUT1","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"ONECUT3","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"PATE1","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"PMP2","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"PRRT2","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"RALGAPA1","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"RUNX1T1","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"SOX4","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"SZT2","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"TMEM120B","<a href=""./htmls/PPI-STRING_Consensus_mod3.html"">PPI-STRING_Consensus_mod3<a>"
"AIG1","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"APOL4","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"BTNL8","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"C10orf90","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"C12orf49","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"C19orf80","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"C2orf40","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"CCDC106","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"CCDC164","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"CD160","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"CD300LD","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"CITED4","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"FCGBP","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"GAS8","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"GKN2","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"GORAB","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"HN1L","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"IFI27L2","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"KCNT1","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"KCTD1","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"KCTD15","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"KIAA1984","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"LDLRAD4","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"LOXL3","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"MDM2","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"MDM4","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"MTBP","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"PERP","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"PPP1R13L","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"PRLHR","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"PYHIN1","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"RCHY1","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"SHISA5","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"SIVA1","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"TFAP2A","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"TFAP2B","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"TFAP2C","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"TFAP2D","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"TFAP2E","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"TMEM168","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"TP53","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"TP53INP1","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"TP63","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"TP73","<a href=""./htmls/PPI-STRING_Consensus_mod4.html"">PPI-STRING_Consensus_mod4<a>"
"ASPN","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"BGN","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"CHADL","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"ECM2","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"EPYC","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"GPR123","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"GPR124","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"ISLR","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"ISLR2","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LINGO1","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LINGO2","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LINGO3","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LINGO4","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRCH1","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRFN1","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRFN2","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRFN3","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRFN4","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRFN5","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRIT2","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRRC15","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRRC17","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRRC19","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRRC24","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRRC26","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRRC32","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRRC33","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRRC38","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRRC4","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRRC4B","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRRC4C","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRRC52","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRRC53","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRRC55","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
"LRRC63","<a href=""./htmls/PPI-STRING_Consensus_mod5.html"">PPI-STRING_Consensus_mod5<a>"
